質問項目,性別,年齢,年代,職業,職種,従業員数（民間企業）,居住地,居住地（7区分）,勤務地,勤務地（7区分）,1.あなたの職場では、ポジションごとに求められる役割や、その役割の遂行に当たり必要な知識・スキルが明確に示されている。,2.あなたは、現在従事するポジションに求められる役割の遂行に当たり必要な知識・スキルを習得するために、トレーニングの機会を与えられるなど、組織から十分なサポートを受けている。,3.あなたが公務組織（民間企業）で身に付けた知識・スキルは、民間企業（公務組織）でも活かせると思う。,4.あなたは、リスキリング（新しい仕事をするために学ぶこと、職業能力の再開発・再教育）に関心がある。,5.あなたは、業務に関する知識・スキルの保有状況を組織内で共有・公開したいと思う。（その情報は、例えば人事異動の検討などに活用することが想定されます。）,6.あなたは、業務と関係のない特技や趣味といった、業務外でのあなた自身のことを深く知ることにつながる情報を組織内で共有・公開したいと思う。（組織内でのコミュニケーション活性化に活用することが想定されます。）,7.あなたは、将来、どのような職務に従事したいか、そのために今からどのようなキャリアを歩みたいかについて、具体的に考えている。,8.あなたは、自分自身のキャリアやスキルアップのための自己研鑽（業務として行うものではないもの）に取り組んでいますか。,9.あなたの職場では、自分自身のキャリア（例えば将来歩みたいキャリアパスなど）について上司や人事担当者などに気軽に相談できる機会や仕組みがある。,10.あなたは、選べるとしたら、１つの部署に長年在籍して特定の専門分野を極めたいですか。それとも、様々な部署を経験し、その組織全体の総合的な知識を身に付けたいですか。,11.次の８つの選択肢のうち、「働くうえで、自分にとって最も重要と感じること」を１つ選択してください。,12.あなたは、「転職」や「人材の流動化」について、ポジティブとネガティブのどちらの印象をより強くお持ちですか。,13.あなた自身は、今後、転職することを考えていますか。,14.あなたは、民間企業（各府省庁（国家公務員））への転職に関心がある。,15.あなたは、あなたの所属する組織のミッション・ビジョン・バリューやパーパスに共感している。,16.あなたは、仕事を進めるにあたり十分な裁量を与えられている。,17.あなたは、いまの職場の仕事に熱中することができている。,18.あなたは、これまでの自分自身の人事異動に納得している。,19.あなたの職場では、業務効率化の取組みが積極的に行われている。,20.あなたの職場では、適切な人員配置が行われている。,21.あなたは、上司や人事担当者には、従業員（職員）一人一人のキャリア志向、成した成果などについて、もっと丁寧に向き合ってほしいと思う。,22.あなたは、これまでの自分自身に対する人事評価に納得している。,23.あなたの職場では、従業員（職員）を大切にする風土がある。,24.あなたの職場では、何事も気軽に相談できる雰囲気がある。,25.あなたは、現在の勤務時間や勤務場所に不都合を感じることはない（状況に合わせた柔軟な働き方ができている）。,26.あなたは、いまの職場で働くことに満足している。,27.あなたは、現在の職場を親しい友人や知人に勧めたいと思う。,28.従業員（職員）の満足度ややりがいを高める目的で、人事部門があなたの個人情報の提供を求めたり、実際に収集し分析したりすることに抵抗はない。
回答者106,2,35,4,1,2,1,12,2,12,2,2,2,3,1,3,3,2,3,3,1,1,3,2,2,4,2,3,5,3,3,1,5,5,3,5,5,5,4
回答者107,1,38,4,1,1,2,12,2,13,3,1,2,3,5,1,4,2,1,3,2,1,5,5,5,2,3,2,4,2,1,2,3,3,4,3,2,3,5
回答者108,1,38,4,1,1,3,12,2,13,3,2,2,3,3,3,3,4,4,3,3,4,3,3,4,6,2,2,2,2,2,2,2,2,2,2,2,2,3
回答者109,1,35,4,1,1,3,14,2,14,2,5,5,5,5,5,5,3,4,5,3,8,5,5,5,6,5,5,3,2,5,5,2,2,2,2,1,5,5
回答者110,2,36,4,1,1,2,11,2,11,2,2,3,2,1,1,2,2,2,2,2,3,2,3,3,2,1,1,2,2,2,2,1,1,1,2,2,2,2
回答者111,2,35,4,1,5,3,12,2,12,2,2,2,3,2,2,2,2,1,2,2,1,3,3,4,6,3,3,2,2,3,3,3,2,2,2,2,3,2
回答者112,1,36,4,1,3,4,9,2,9,2,1,2,3,3,2,3,2,2,2,3,5,4,5,3,3,1,2,3,2,3,2,2,2,3,2,3,4,2
回答者113,2,35,4,1,4,2,8,2,8,2,2,5,5,2,2,4,3,3,5,2,4,2,3,4,7,4,5,3,5,5,2,3,5,2,1,5,5,4
回答者114,2,41,5,1,3,1,10,2,10,2,2,3,2,2,2,2,3,3,3,2,4,4,4,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2
回答者115,2,43,5,1,4,2,11,2,11,2,2,2,3,3,1,5,3,4,3,2,4,3,5,5,3,3,2,2,4,3,1,3,3,2,4,3,5,3
回答者116,1,44,5,1,4,4,8,2,8,2,5,5,5,5,5,5,5,4,5,3,4,3,4,5,6,5,4,3,3,4,5,5,3,5,4,3,5,3
回答者117,2,41,5,1,1,2,10,2,10,2,3,4,3,4,3,3,5,4,5,5,8,2,5,2,6,4,5,3,4,3,4,3,4,4,5,3,5,3
回答者118,1,42,5,1,1,4,10,2,10,2,1,2,1,1,3,3,1,2,2,2,6,3,1,3,1,1,2,2,3,2,2,2,2,1,2,2,3,3
回答者119,1,43,5,1,1,4,14,2,14,2,2,2,2,1,1,1,3,3,2,4,2,3,4,4,2,2,2,2,2,3,2,3,2,2,2,2,2,2
回答者120,1,43,5,1,1,2,8,2,8,2,3,2,1,2,3,2,2,2,2,3,3,2,3,2,2,3,2,2,2,1,2,2,4,2,2,1,3,2
回答者121,1,42,5,1,1,1,14,2,14,2,5,5,5,4,5,5,5,4,5,5,6,1,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5
回答者122,1,43,5,1,1,3,11,2,11,2,2,2,3,3,1,3,3,2,2,3,3,2,1,2,2,3,2,3,2,3,3,4,3,3,3,2,1,4
回答者123,1,41,5,1,5,5,8,2,8,2,4,2,3,3,3,2,2,3,2,2,1,4,5,3,2,2,2,2,2,3,3,2,2,2,2,2,3,3
回答者124,1,42,5,1,1,2,12,2,13,3,4,2,3,3,3,2,3,4,3,2,1,3,4,3,5,3,2,3,2,3,2,2,2,3,3,2,3,2
回答者125,2,47,6,1,1,2,11,2,13,3,3,2,2,2,4,4,4,4,5,3,8,3,5,5,4,2,2,3,3,3,2,4,3,3,3,2,3,3
回答者126,2,45,6,1,1,4,14,2,14,2,2,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
回答者127,2,47,6,1,1,4,14,2,13,3,2,2,3,3,3,3,3,3,3,2,4,3,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2
回答者128,2,48,6,1,5,2,11,2,11,2,1,5,5,1,1,1,2,3,2,2,2,3,5,5,3,2,3,3,3,3,3,3,3,3,3,3,3,3
回答者129,1,45,6,1,1,5,11,2,11,2,5,5,5,5,5,5,5,4,5,5,8,5,5,5,7,5,5,5,5,5,5,5,5,5,5,5,5,5
回答者130,1,46,6,1,1,4,14,2,13,3,3,3,4,4,3,3,3,1,2,2,8,4,5,5,3,2,3,3,3,4,3,3,3,2,3,3,4,3
回答者131,1,47,6,1,1,2,14,2,14,2,3,2,3,3,3,3,2,3,3,4,5,3,4,4,5,3,3,3,3,3,2,3,4,3,3,3,3,3
回答者132,2,46,6,1,1,4,11,2,13,3,2,2,2,2,2,2,2,3,3,4,4,3,5,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2
回答者133,1,46,6,1,3,2,8,2,8,2,3,4,4,4,3,3,3,3,4,2,1,4,4,5,7,3,3,3,4,3,4,4,4,4,4,4,5,4
回答者134,1,47,6,1,4,2,8,2,8,2,1,5,3,3,2,3,4,1,4,2,1,5,5,3,6,3,3,3,4,2,2,4,4,4,3,3,4,2
回答者135,1,49,6,1,1,2,14,2,14,2,2,2,3,2,2,2,3,3,2,1,4,3,4,4,3,4,3,2,2,2,3,2,2,2,3,3,3,2
回答者136,2,45,6,1,1,2,14,2,14,2,4,4,4,3,4,5,4,4,5,3,4,4,4,3,6,4,4,3,4,4,3,4,3,4,1,4,5,5
回答者137,2,47,6,1,1,3,14,2,14,2,2,2,1,2,2,5,2,3,2,5,3,2,4,3,2,2,2,2,3,3,2,2,2,2,1,2,2,2
回答者138,2,46,6,1,1,1,8,2,8,2,3,3,5,4,3,5,3,3,4,3,8,3,3,3,6,3,4,3,3,3,3,3,5,5,3,5,5,3
回答者139,1,50,7,1,3,2,14,2,14,2,2,2,3,2,3,2,3,4,3,3,1,4,5,5,3,2,3,2,3,2,2,2,3,3,3,2,2,3
回答者140,2,50,7,1,1,4,12,2,12,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2
回答者141,1,54,7,1,1,4,14,2,14,2,2,5,5,3,5,5,1,1,5,1,1,2,2,1,6,3,2,3,4,3,3,2,3,2,3,3,4,3
回答者142,2,50,7,1,4,5,8,2,8,2,2,2,5,3,2,3,5,4,3,3,4,3,5,5,3,5,3,3,2,3,3,3,3,3,3,2,4,3
回答者143,1,53,7,1,4,2,11,2,11,2,2,2,5,2,5,5,4,3,4,4,4,1,3,2,4,3,5,5,3,5,1,5,5,5,2,5,5,5
回答者144,1,50,7,1,5,1,14,2,14,2,2,2,2,2,3,3,4,4,3,3,4,3,5,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3
回答者145,1,54,7,1,2,1,14,2,14,2,2,2,5,3,2,2,5,4,5,2,4,3,5,4,6,1,1,3,4,2,1,4,5,3,3,2,3,3
回答者146,1,51,7,1,1,3,14,2,13,3,3,3,4,4,3,4,4,4,3,3,8,3,5,5,3,3,4,3,3,3,3,3,4,4,4,4,4,4
回答者147,2,53,7,1,1,2,12,2,13,3,4,5,5,5,5,5,5,1,5,3,8,3,4,4,7,5,5,5,5,5,5,5,5,5,5,5,5,5
回答者148,2,51,7,1,1,5,8,2,13,3,2,2,2,2,3,2,2,1,3,2,2,2,4,4,2,2,2,2,1,2,2,2,2,2,1,2,2,2
回答者149,2,53,7,1,5,1,9,2,9,2,2,2,5,4,2,3,3,4,3,2,4,3,5,5,2,2,2,2,2,2,3,2,2,3,2,1,3,3
回答者150,2,54,7,1,1,2,14,2,14,2,2,3,5,4,4,5,4,4,5,2,4,1,5,5,4,4,1,1,3,3,3,1,3,3,1,2,4,2
回答者151,2,56,8,1,1,4,10,2,10,2,3,3,2,2,2,2,2,3,4,2,2,2,4,2,4,3,3,4,4,4,4,4,4,4,3,3,3,3
回答者152,2,58,8,1,1,4,11,2,11,2,3,2,1,2,1,2,1,1,1,2,4,4,5,5,7,2,1,3,1,1,2,3,2,3,2,1,2,1
回答者153,1,55,8,1,1,5,14,2,14,2,1,3,1,2,2,4,2,1,4,5,4,4,4,1,2,1,2,4,2,5,1,3,2,2,5,4,5,1
回答者154,2,55,8,1,4,4,11,2,11,2,5,5,5,5,5,5,5,4,5,5,4,4,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5
回答者155,2,57,8,1,2,3,9,2,9,2,1,1,3,1,3,1,3,1,1,2,1,2,5,5,2,2,2,2,2,2,2,3,3,3,2,3,3,2
回答者156,2,59,8,1,1,1,14,2,14,2,5,5,5,5,5,5,4,4,5,3,4,3,5,5,5,3,3,3,3,5,5,5,5,5,5,5,5,5
回答者157,2,55,8,1,2,3,11,2,13,3,1,2,3,3,3,2,2,2,1,2,8,4,5,5,2,1,1,2,4,3,3,2,2,1,4,2,2,4
回答者158,1,58,8,1,1,3,11,2,13,3,2,2,3,4,4,4,4,4,2,1,4,4,4,2,2,3,3,3,2,3,4,3,2,2,3,3,3,3
回答者159,2,57,8,1,1,2,14,2,14,2,2,2,2,2,2,2,2,1,2,2,8,2,5,5,3,2,2,2,2,2,2,2,2,2,2,2,2,2
回答者160,2,59,8,1,1,4,11,2,11,2,4,4,4,4,4,4,5,4,4,4,2,4,5,5,2,2,2,2,2,2,2,2,2,2,4,2,4,2
回答者161,2,57,8,1,1,5,12,2,12,2,2,2,5,3,3,3,3,4,5,3,1,3,5,5,6,3,2,2,3,3,3,3,3,3,3,2,3,3
回答者162,2,58,8,1,1,4,12,2,12,2,3,3,3,3,3,3,5,4,5,1,4,5,5,5,7,5,3,5,2,4,1,4,2,5,1,2,3,4
回答者163,2,65,9,1,2,1,11,2,11,2,2,2,3,3,3,3,5,4,3,3,6,3,4,5,7,4,3,4,3,4,3,3,4,3,3,3,4,3
回答者164,1,62,9,1,3,4,11,2,13,3,2,2,3,2,3,3,3,3,3,2,1,2,4,3,2,3,2,3,2,2,3,3,2,3,2,2,3,4
回答者165,2,63,9,1,1,1,12,2,13,3,4,4,4,5,4,3,4,4,4,2,4,4,5,5,7,1,2,3,4,3,2,3,4,2,3,4,4,3
回答者166,2,61,9,1,1,3,12,2,12,2,3,5,5,5,5,5,4,4,5,2,8,3,5,5,7,5,3,5,4,3,3,4,4,4,4,3,5,4
回答者167,1,62,9,1,1,2,11,2,13,3,4,2,3,1,4,3,3,2,3,2,4,3,2,3,4,4,2,3,5,3,1,2,3,2,1,3,2,3
回答者168,1,61,9,1,1,3,12,2,12,2,2,2,2,2,2,2,3,1,2,3,5,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2
回答者169,1,62,9,1,1,5,14,2,14,2,1,1,2,2,1,2,2,2,2,2,2,2,3,3,2,1,1,2,1,2,3,2,2,2,2,2,1,1
回答者170,1,62,9,1,3,1,8,2,8,2,3,3,3,3,3,3,4,4,4,5,4,3,1,3,4,1,2,3,4,5,4,3,2,1,2,3,4,5
回答者171,1,60,9,1,1,3,12,2,12,2,2,2,2,3,2,5,3,4,2,4,4,2,4,5,2,2,2,2,2,3,2,2,2,3,2,2,2,2
回答者172,2,63,9,1,2,2,10,2,10,2,2,3,3,2,2,2,3,3,4,2,1,2,5,4,4,2,2,3,3,3,3,3,3,3,3,2,3,2
回答者173,2,24,1,1,1,2,13,3,13,3,3,2,2,1,1,3,3,3,3,2,1,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,5,3
回答者174,2,24,1,1,1,2,13,3,13,3,2,4,4,1,2,3,4,1,2,2,4,2,3,5,6,3,3,3,4,3,3,2,2,2,1,2,4,3
回答者175,2,23,1,1,1,4,13,3,13,3,2,3,5,5,3,5,3,1,2,2,8,2,5,5,2,4,2,2,3,3,3,3,2,2,2,2,3,2
回答者176,1,24,1,1,1,5,13,3,13,3,2,3,3,3,3,3,3,4,2,3,4,3,5,5,6,2,2,2,2,2,2,2,1,2,2,1,2,2
回答者177,1,24,1,1,1,5,13,3,13,3,5,5,4,4,4,4,5,3,5,5,6,5,4,4,4,5,4,3,3,3,3,3,3,3,3,3,3,3
回答者178,2,24,1,1,1,1,13,3,13,3,3,3,3,3,3,3,3,3,4,3,5,3,3,3,2,3,3,2,4,4,3,3,3,2,2,3,3,3
回答者179,2,24,1,1,2,1,13,3,13,3,3,3,3,3,3,3,3,3,3,3,8,3,4,5,3,3,3,3,3,3,3,3,3,2,3,3,3,3
回答者180,2,24,1,1,1,4,13,3,13,3,4,4,5,4,4,4,4,2,5,2,8,4,1,5,6,4,5,4,4,4,3,3,4,5,4,5,5,5
回答者181,1,22,1,1,1,4,13,3,13,3,3,3,3,4,4,3,3,3,3,3,1,3,4,5,5,4,4,4,4,5,4,5,4,4,4,3,4,3
回答者182,1,29,2,1,1,5,13,3,13,3,3,4,3,3,3,3,4,2,2,5,5,4,1,3,5,2,3,2,3,3,3,3,3,3,3,4,2,3
回答者183,2,29,2,1,1,4,13,3,13,3,2,2,3,2,3,3,3,3,2,2,1,3,5,4,3,2,3,3,3,3,3,3,2,3,1,2,2,3
回答者184,1,26,2,1,1,2,13,3,13,3,4,2,1,1,2,1,1,2,2,1,1,1,2,4,3,2,3,2,2,3,2,3,2,2,3,2,1,2
回答者185,1,29,2,1,4,1,13,3,14,2,3,2,5,5,5,5,2,4,3,1,8,3,5,5,7,3,3,3,3,4,3,3,3,3,3,3,3,5
回答者186,2,28,2,1,1,2,13,3,13,3,4,4,4,2,2,2,4,3,5,2,4,4,4,2,6,4,3,2,5,4,2,3,4,4,3,3,4,3
回答者187,2,29,2,1,2,1,13,3,13,3,5,5,5,3,5,3,4,1,4,2,8,2,4,5,3,3,2,3,3,3,3,3,2,3,3,3,3,3
回答者188,2,29,2,1,1,1,13,3,13,3,2,4,5,4,3,1,3,4,4,2,4,2,5,5,2,2,2,2,2,3,2,2,1,2,2,2,3,2
回答者189,2,27,2,1,1,2,13,3,13,3,2,2,3,2,2,2,2,1,2,2,1,2,2,2,3,3,3,2,2,3,2,3,2,2,2,2,2,2
回答者190,1,32,3,1,1,5,13,3,13,3,2,1,2,2,2,2,2,2,2,2,1,2,3,2,2,2,1,3,3,3,2,3,2,2,1,3,2,3
回答者191,1,32,3,1,1,4,13,3,13,3,3,3,3,3,3,3,4,4,4,2,4,3,3,3,6,3,3,3,3,4,3,3,3,3,3,4,3,3
回答者192,1,32,3,1,3,5,13,3,13,3,2,2,4,3,3,3,2,1,1,2,4,3,5,4,2,2,2,2,2,2,2,2,2,2,3,2,3,3
回答者193,1,33,3,1,1,3,13,3,13,3,1,2,1,2,1,2,1,1,4,1,1,1,1,1,2,1,2,4,1,5,1,1,1,3,1,1,2,1
回答者194,1,33,3,1,1,5,13,3,13,3,3,3,3,3,3,3,2,2,5,2,3,1,2,5,7,4,5,5,3,3,3,5,3,3,3,5,5,5
回答者195,1,33,3,1,1,1,13,3,13,3,4,4,3,3,3,3,4,3,3,4,4,2,4,3,6,2,3,4,3,3,3,3,3,3,4,4,4,4
回答者196,1,34,3,1,1,4,13,3,12,2,3,3,4,4,4,5,3,1,4,2,4,4,5,5,7,2,3,5,5,5,5,5,4,5,4,5,5,5
回答者197,1,34,3,1,1,5,13,3,13,3,2,3,3,1,2,3,1,3,2,2,4,2,3,3,2,3,2,2,3,3,3,2,2,2,3,2,3,2
回答者198,1,38,4,1,1,4,13,3,13,3,3,3,4,3,3,3,3,3,3,3,8,3,5,5,3,3,4,3,3,4,3,2,3,3,2,2,3,3
回答者199,2,36,4,1,2,5,13,3,13,3,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
回答者200,2,38,4,1,1,1,13,3,13,3,1,2,3,3,3,2,1,2,2,3,3,4,3,1,1,3,2,2,3,3,2,3,4,3,3,3,3,3
回答者201,1,38,4,1,5,3,13,3,13,3,2,2,2,3,3,2,3,4,3,3,4,4,4,3,6,3,3,3,4,4,4,3,4,4,4,4,4,3
回答者202,2,37,4,1,1,4,13,3,13,3,2,3,3,2,4,4,3,1,4,3,8,2,3,1,3,2,2,2,2,2,4,4,4,4,2,4,4,3
回答者203,2,38,4,1,1,1,13,3,13,3,3,4,3,4,2,4,2,1,4,2,4,3,2,4,7,3,2,3,4,4,2,3,3,3,2,3,5,3
回答者204,1,35,4,1,1,5,13,3,13,3,2,1,1,1,1,1,2,1,2,1,8,2,1,2,2,3,4,4,3,3,3,3,3,3,3,4,3,3
回答者205,2,35,4,1,1,2,13,3,13,3,2,3,3,2,3,3,2,1,2,3,4,2,3,3,3,3,3,3,2,3,3,2,2,3,2,3,2,2
回答者206,1,37,4,1,1,4,13,3,13,3,2,3,3,2,3,2,3,3,3,4,1,5,5,5,4,3,2,3,3,4,3,3,3,3,3,3,3,3
回答者207,1,41,5,1,1,1,13,3,13,3,2,3,3,3,3,3,3,4,3,4,8,3,5,5,3,2,3,2,2,2,3,3,3,2,2,3,3,3
回答者208,1,40,5,1,1,1,13,3,13,3,2,2,3,3,3,3,3,2,3,3,4,3,3,4,4,3,3,3,3,3,3,3,3,3,2,3,3,3
回答者209,2,44,5,1,2,4,13,3,13,3,2,2,2,2,2,2,2,1,2,2,1,1,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2
回答者210,2,42,5,1,1,3,13,3,13,3,2,4,3,3,3,4,3,1,4,4,4,2,2,5,3,3,3,2,2,3,4,3,3,4,4,4,4,4
回答者211,1,41,5,1,1,5,13,3,13,3,3,3,5,4,4,4,4,4,4,3,4,3,5,5,6,3,3,3,3,3,3,3,3,3,3,3,3,3
回答者212,1,41,5,1,1,3,13,3,14,2,3,3,3,2,3,3,3,4,3,3,4,2,5,5,3,3,2,3,3,3,3,3,3,3,3,2,2,2
回答者213,2,48,6,1,1,3,13,3,13,3,5,5,5,5,5,5,5,4,5,3,4,3,5,3,6,3,3,3,3,3,3,3,3,3,3,3,3,3
回答者214,2,45,6,1,1,4,13,3,13,3,2,4,4,3,4,3,4,4,4,4,8,3,5,3,6,3,3,4,3,3,3,3,3,3,3,3,3,3
回答者215,2,49,6,1,1,4,13,3,13,3,4,5,4,4,4,5,4,1,4,3,1,2,4,4,4,4,5,4,3,3,2,3,3,4,2,4,5,3
回答者216,1,46,6,1,1,3,13,3,13,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,4,3,3,2,2,3,3,3,2,3,3
回答者217,1,48,6,1,1,5,13,3,13,3,3,2,4,4,2,2,2,2,2,2,8,3,5,5,4,2,4,3,4,4,5,3,3,2,2,3,4,3
回答者218,1,45,6,1,1,5,13,3,13,3,3,2,4,4,2,2,4,4,4,5,8,5,4,4,3,3,2,2,4,3,2,2,2,4,4,3,2,3
回答者219,1,47,6,1,1,4,13,3,13,3,2,1,2,2,2,3,1,1,4,5,5,2,5,3,3,3,2,3,3,2,3,2,3,3,2,3,2,3
回答者220,2,48,6,1,1,2,13,3,13,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2
回答者221,2,51,7,1,1,2,13,3,13,3,2,5,5,2,1,4,3,2,5,2,4,4,2,4,6,2,3,4,3,4,1,4,5,4,2,3,4,4
回答者222,2,54,7,1,1,1,13,3,13,3,4,5,4,4,3,3,5,4,4,1,4,5,5,5,3,2,2,2,4,3,3,2,4,3,2,2,4,2
回答者223,1,53,7,1,1,4,13,3,13,3,2,2,3,2,2,3,3,3,3,3,4,3,2,4,4,3,2,3,2,3,3,2,2,2,3,3,2,3
回答者224,2,51,7,1,3,1,13,3,13,3,5,5,5,5,5,5,5,4,5,3,4,3,5,5,7,3,2,4,3,3,3,3,3,3,3,4,4,4
回答者225,1,53,7,1,1,5,13,3,13,3,2,2,4,3,3,3,3,3,4,2,2,4,5,5,4,4,2,2,2,5,1,2,4,5,2,2,3,3
回答者226,1,52,7,1,1,2,13,3,13,3,3,3,4,4,4,3,3,4,4,2,4,3,3,4,4,3,4,4,4,4,3,3,4,5,4,5,4,4
回答者227,1,53,7,1,1,1,13,3,13,3,1,3,3,2,4,4,2,1,4,2,4,1,2,5,3,2,2,3,3,3,4,4,4,3,3,4,4,4
回答者228,1,52,7,1,1,5,13,3,13,3,3,3,1,1,3,3,4,3,3,2,4,2,2,3,2,2,4,3,2,2,3,2,2,2,2,2,3,2
回答者229,2,57,8,1,3,5,13,3,13,3,3,3,3,3,3,3,3,4,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4
回答者230,2,58,8,1,1,1,13,3,13,3,2,2,3,4,4,3,5,4,3,3,4,3,5,5,3,2,2,2,2,2,3,2,2,2,2,2,4,2
回答者231,2,56,8,1,1,4,13,3,13,3,3,3,3,3,3,3,3,4,2,2,4,3,5,5,3,2,2,2,2,2,3,2,2,2,2,2,3,3
回答者232,2,57,8,1,2,2,13,3,13,3,3,3,3,2,2,4,3,1,2,2,4,2,3,4,4,3,4,3,4,3,2,3,4,2,2,3,3,5
回答者233,2,55,8,1,2,4,13,3,13,3,2,4,2,2,2,2,3,2,4,2,4,2,4,3,2,5,2,4,4,4,3,3,4,4,4,4,4,4
回答者234,2,58,8,1,1,4,13,3,13,3,4,5,5,2,5,2,4,2,2,4,4,4,5,2,2,2,2,3,3,2,4,4,4,2,2,2,3,4
回答者235,2,64,9,1,1,1,13,3,13,3,3,4,5,4,2,3,3,4,4,3,4,4,5,3,4,4,3,3,3,3,3,3,4,3,3,3,3,3
回答者236,1,23,1,1,1,1,16,4,16,4,3,3,3,3,3,3,3,3,3,2,4,3,4,3,3,3,2,3,2,2,2,3,2,2,3,2,3,2
回答者237,1,23,1,1,1,2,22,4,22,4,2,2,3,3,3,2,2,2,3,3,3,2,4,3,3,2,2,3,3,2,2,3,2,2,3,4,3,2
回答者238,1,24,1,1,1,3,23,4,23,4,4,3,2,2,3,4,2,4,3,3,6,3,1,2,3,4,2,3,2,3,2,3,3,3,4,3,2,3
回答者239,1,24,1,1,1,2,23,4,23,4,4,5,5,5,5,4,4,3,5,4,4,4,3,4,6,2,4,2,4,4,4,5,4,5,5,4,5,5
回答者240,2,22,1,1,1,5,15,4,15,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
回答者241,1,23,1,1,1,2,23,4,23,4,2,3,2,3,3,2,1,3,2,2,1,1,3,2,2,2,4,2,3,3,2,2,2,4,3,4,3,3
回答者242,1,22,1,1,4,3,23,4,23,4,3,3,3,3,3,3,3,4,5,5,8,5,5,5,7,5,5,5,5,5,5,5,5,5,5,5,5,5
回答者243,2,23,1,1,1,4,15,4,15,4,4,2,3,2,3,3,2,3,3,3,4,3,3,4,4,4,3,3,2,3,2,3,3,2,2,3,3,2
回答者244,2,23,1,1,2,2,22,4,22,4,1,2,2,2,4,4,1,1,2,1,8,1,1,3,3,2,2,3,2,3,2,2,2,2,3,3,4,3
回答者245,1,24,1,1,1,5,23,4,23,4,2,3,2,1,3,1,3,2,2,2,4,2,4,3,2,3,1,2,3,2,1,2,1,3,4,2,2,2
回答者246,1,23,1,1,4,3,23,4,23,4,3,2,4,3,2,2,4,2,4,3,3,5,4,4,4,2,2,4,4,3,2,2,2,4,4,3,4,4
回答者247,1,23,1,1,1,2,22,4,22,4,2,2,3,2,2,2,2,3,2,3,4,2,2,3,3,2,2,3,4,2,3,3,4,3,2,3,3,3
回答者248,2,24,1,1,1,2,23,4,23,4,3,3,3,3,3,4,4,4,4,3,4,4,4,4,5,3,3,3,3,3,3,3,4,3,2,4,3,3
回答者249,1,27,2,1,4,2,23,4,23,4,2,2,4,2,2,2,3,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,3,2,2,3
回答者250,1,26,2,1,4,2,16,4,16,4,3,3,3,4,3,5,5,4,5,3,1,4,5,5,7,3,3,3,3,3,3,3,3,3,3,3,3,3
回答者251,1,28,2,1,4,2,23,4,23,4,2,1,2,2,3,2,4,3,2,4,2,2,4,4,2,3,3,3,1,2,3,2,3,4,2,4,2,2
回答者252,1,29,2,1,1,5,23,4,23,4,3,2,3,3,3,3,2,3,4,3,5,3,4,4,3,3,3,3,4,3,4,3,3,3,2,2,3,3
回答者253,2,27,2,1,1,1,23,4,23,4,3,2,2,4,3,3,3,4,4,3,4,3,5,4,4,3,2,3,3,2,4,3,3,2,4,3,3,2
回答者254,2,29,2,1,1,1,23,4,23,4,3,3,4,4,3,3,3,3,4,2,1,2,3,4,6,4,4,3,3,3,3,4,4,4,4,5,5,3
回答者255,2,25,2,1,2,1,23,4,23,4,2,2,2,2,2,2,3,3,4,2,2,2,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3
回答者256,2,28,2,1,1,2,24,4,24,4,3,5,5,5,3,5,5,4,5,4,4,2,3,4,7,5,5,5,5,3,2,4,4,4,2,5,5,3
回答者257,2,28,2,1,1,3,23,4,23,4,3,4,2,2,3,2,3,4,3,4,8,2,3,3,3,2,4,4,3,1,3,4,3,3,2,3,2,2
回答者258,1,32,3,1,2,5,22,4,22,4,3,3,3,3,3,3,3,4,3,3,4,2,5,3,3,3,4,3,3,2,3,4,3,4,3,4,3,3
回答者259,1,34,3,1,4,2,22,4,22,4,2,2,2,2,2,2,2,3,2,2,3,4,4,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3
回答者260,2,32,3,1,1,2,23,4,23,4,2,5,1,1,2,2,2,3,2,3,8,1,2,2,3,2,2,4,2,3,2,3,1,2,1,2,3,1
回答者261,1,31,3,1,4,5,24,4,24,4,5,5,5,5,5,5,3,4,5,5,8,5,5,5,7,4,3,4,3,4,3,2,3,4,3,3,3,3
